oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.04, CEST,mar 14 apr 2020, 15.21.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.09, CEST,mar 14 apr 2020, 15.21.15, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.15, CEST,mar 14 apr 2020, 15.21.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.20, CEST,mar 14 apr 2020, 15.21.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.26, CEST,mar 14 apr 2020, 15.21.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.31, CEST,mar 14 apr 2020, 15.21.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.37, CEST,mar 14 apr 2020, 15.21.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.42, CEST,mar 14 apr 2020, 15.21.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.48, CEST,mar 14 apr 2020, 15.21.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.21.54, CEST,mar 14 apr 2020, 15.21.59, CEST
