oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.18, CEST,mer 15 apr 2020, 13.03.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.23, CEST,mer 15 apr 2020, 13.03.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.28, CEST,mer 15 apr 2020, 13.03.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.33, CEST,mer 15 apr 2020, 13.03.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.39, CEST,mer 15 apr 2020, 13.03.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.44, CEST,mer 15 apr 2020, 13.03.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.49, CEST,mer 15 apr 2020, 13.03.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.03.55, CEST,mer 15 apr 2020, 13.04.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.00, CEST,mer 15 apr 2020, 13.04.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.05, CEST,mer 15 apr 2020, 13.04.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.11, CEST,mer 15 apr 2020, 13.04.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.16, CEST,mer 15 apr 2020, 13.04.21, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.21, CEST,mer 15 apr 2020, 13.04.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.27, CEST,mer 15 apr 2020, 13.04.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.32, CEST,mer 15 apr 2020, 13.04.38, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.38, CEST,mer 15 apr 2020, 13.04.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.43, CEST,mer 15 apr 2020, 13.04.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.49, CEST,mer 15 apr 2020, 13.04.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.04.54, CEST,mer 15 apr 2020, 13.05.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.05.00, CEST,mer 15 apr 2020, 13.05.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.05.05, CEST,mer 15 apr 2020, 13.05.10, CEST
