oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.01, CEST,sab 4 apr 2020, 23.43.09, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.09, CEST,sab 4 apr 2020, 23.43.16, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.16, CEST,sab 4 apr 2020, 23.43.23, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.23, CEST,sab 4 apr 2020, 23.43.31, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.31, CEST,sab 4 apr 2020, 23.43.40, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.40, CEST,sab 4 apr 2020, 23.43.49, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.49, CEST,sab 4 apr 2020, 23.43.57, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.43.57, CEST,sab 4 apr 2020, 23.44.06, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.44.06, CEST,sab 4 apr 2020, 23.44.14, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testBasicSubmitWithMultipleEndInstancesInputEvent,test fail, sab 4 apr 2020, 23.44.14, CEST,sab 4 apr 2020, 23.44.23, CEST
