hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.40, CET,ven 13 mar 2020, 01.12.44, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.44, CET,ven 13 mar 2020, 01.12.47, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.47, CET,ven 13 mar 2020, 01.12.51, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.51, CET,ven 13 mar 2020, 01.12.54, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.54, CET,ven 13 mar 2020, 01.12.58, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.12.58, CET,ven 13 mar 2020, 01.13.01, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.13.01, CET,ven 13 mar 2020, 01.13.05, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.13.05, CET,ven 13 mar 2020, 01.13.08, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.13.08, CET,ven 13 mar 2020, 01.13.12, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.13.12, CET,ven 13 mar 2020, 01.13.16, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.13.16, CET,ven 13 mar 2020, 01.13.19, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.13.19, CET,ven 13 mar 2020, 01.13.23, CET
