oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.53, CEST,lun 13 apr 2020, 18.14.58, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.14.58, CEST,lun 13 apr 2020, 18.15.03, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.04, CEST,lun 13 apr 2020, 18.15.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.09, CEST,lun 13 apr 2020, 18.15.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.14, CEST,lun 13 apr 2020, 18.15.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.19, CEST,lun 13 apr 2020, 18.15.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.25, CEST,lun 13 apr 2020, 18.15.30, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.30, CEST,lun 13 apr 2020, 18.15.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.35, CEST,lun 13 apr 2020, 18.15.40, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.40, CEST,lun 13 apr 2020, 18.15.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.46, CEST,lun 13 apr 2020, 18.15.52, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.52, CEST,lun 13 apr 2020, 18.15.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.15.57, CEST,lun 13 apr 2020, 18.16.02, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.02, CEST,lun 13 apr 2020, 18.16.08, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.08, CEST,lun 13 apr 2020, 18.16.13, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.13, CEST,lun 13 apr 2020, 18.16.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.19, CEST,lun 13 apr 2020, 18.16.24, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.24, CEST,lun 13 apr 2020, 18.16.29, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.29, CEST,lun 13 apr 2020, 18.16.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.34, CEST,lun 13 apr 2020, 18.16.40, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.16.40, CEST,lun 13 apr 2020, 18.16.45, CEST
