oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.20.41, CEST,lun 6 apr 2020, 14.20.48, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.20.48, CEST,lun 6 apr 2020, 14.20.54, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.20.54, CEST,lun 6 apr 2020, 14.21.01, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.01, CEST,lun 6 apr 2020, 14.21.08, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.08, CEST,lun 6 apr 2020, 14.21.15, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.15, CEST,lun 6 apr 2020, 14.21.21, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.21, CEST,lun 6 apr 2020, 14.21.27, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.27, CEST,lun 6 apr 2020, 14.21.33, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.33, CEST,lun 6 apr 2020, 14.21.39, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.39, CEST,lun 6 apr 2020, 14.21.45, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.45, CEST,lun 6 apr 2020, 14.21.51, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.51, CEST,lun 6 apr 2020, 14.21.58, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.21.58, CEST,lun 6 apr 2020, 14.22.04, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.22.04, CEST,lun 6 apr 2020, 14.22.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.22.11, CEST,lun 6 apr 2020, 14.22.18, CEST
