oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.08.40, CEST,mar 14 apr 2020, 23.08.45, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.08.45, CEST,mar 14 apr 2020, 23.08.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.08.51, CEST,mar 14 apr 2020, 23.08.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.08.56, CEST,mar 14 apr 2020, 23.09.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.01, CEST,mar 14 apr 2020, 23.09.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.07, CEST,mar 14 apr 2020, 23.09.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.12, CEST,mar 14 apr 2020, 23.09.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.17, CEST,mar 14 apr 2020, 23.09.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.23, CEST,mar 14 apr 2020, 23.09.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.28, CEST,mar 14 apr 2020, 23.09.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.33, CEST,mar 14 apr 2020, 23.09.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.39, CEST,mar 14 apr 2020, 23.09.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.44, CEST,mar 14 apr 2020, 23.09.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.49, CEST,mar 14 apr 2020, 23.09.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.09.55, CEST,mar 14 apr 2020, 23.10.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.00, CEST,mar 14 apr 2020, 23.10.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.05, CEST,mar 14 apr 2020, 23.10.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.11, CEST,mar 14 apr 2020, 23.10.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.16, CEST,mar 14 apr 2020, 23.10.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.22, CEST,mar 14 apr 2020, 23.10.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.28, CEST,mar 14 apr 2020, 23.10.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.33, CEST,mar 14 apr 2020, 23.10.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.10.39, CEST,mar 14 apr 2020, 23.10.44, CEST
