Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.00, CET,mar 10 mar 2020, 12.47.02, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.02, CET,mar 10 mar 2020, 12.47.05, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.05, CET,mar 10 mar 2020, 12.47.07, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.07, CET,mar 10 mar 2020, 12.47.09, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.09, CET,mar 10 mar 2020, 12.47.12, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.12, CET,mar 10 mar 2020, 12.47.14, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.14, CET,mar 10 mar 2020, 12.47.17, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.17, CET,mar 10 mar 2020, 12.47.19, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.19, CET,mar 10 mar 2020, 12.47.22, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.22, CET,mar 10 mar 2020, 12.47.24, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.24, CET,mar 10 mar 2020, 12.47.26, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.26, CET,mar 10 mar 2020, 12.47.29, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.29, CET,mar 10 mar 2020, 12.47.31, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.31, CET,mar 10 mar 2020, 12.47.33, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.33, CET,mar 10 mar 2020, 12.47.35, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.35, CET,mar 10 mar 2020, 12.47.38, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.38, CET,mar 10 mar 2020, 12.47.40, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.40, CET,mar 10 mar 2020, 12.47.42, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.42, CET,mar 10 mar 2020, 12.47.45, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.45, CET,mar 10 mar 2020, 12.47.47, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.47, CET,mar 10 mar 2020, 12.47.50, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.50, CET,mar 10 mar 2020, 12.47.52, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestTypedQueries,should_perform_bound_statement_typed_query,test fail, mar 10 mar 2020, 12.47.52, CET,mar 10 mar 2020, 12.47.54, CET
