excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:35, CEST,mar 9 giu 2020, 13:37:38, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:38, CEST,mar 9 giu 2020, 13:37:41, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:41, CEST,mar 9 giu 2020, 13:37:44, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:44, CEST,mar 9 giu 2020, 13:37:47, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:47, CEST,mar 9 giu 2020, 13:37:50, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:50, CEST,mar 9 giu 2020, 13:37:53, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:53, CEST,mar 9 giu 2020, 13:37:56, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:56, CEST,mar 9 giu 2020, 13:37:59, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:37:59, CEST,mar 9 giu 2020, 13:38:02, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:38:02, CEST,mar 9 giu 2020, 13:38:05, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:38:05, CEST,mar 9 giu 2020, 13:38:09, CEST
excelastic,https://github.com/codingchili/excelastic, 6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,./, TestWriter,shouldWriteToElasticPort,test pass, mar 9 giu 2020, 13:38:09, CEST,mar 9 giu 2020, 13:38:12, CEST
