oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.24.21, CEST,sab 4 apr 2020, 15.24.27, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.24.27, CEST,sab 4 apr 2020, 15.24.33, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.24.33, CEST,sab 4 apr 2020, 15.24.39, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.24.39, CEST,sab 4 apr 2020, 15.24.44, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.24.44, CEST,sab 4 apr 2020, 15.24.50, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.24.50, CEST,sab 4 apr 2020, 15.24.56, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.24.56, CEST,sab 4 apr 2020, 15.25.01, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.25.01, CEST,sab 4 apr 2020, 15.25.07, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.25.07, CEST,sab 4 apr 2020, 15.25.12, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.25.12, CEST,sab 4 apr 2020, 15.25.18, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.25.18, CEST,sab 4 apr 2020, 15.25.24, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testAvailConfigDefaults,test fail, sab 4 apr 2020, 15.25.24, CEST,sab 4 apr 2020, 15.25.31, CEST
