Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.31, CET,mar 10 mar 2020, 18.00.33, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.33, CET,mar 10 mar 2020, 18.00.36, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.36, CET,mar 10 mar 2020, 18.00.38, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.38, CET,mar 10 mar 2020, 18.00.40, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.40, CET,mar 10 mar 2020, 18.00.43, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.43, CET,mar 10 mar 2020, 18.00.45, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.45, CET,mar 10 mar 2020, 18.00.47, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.47, CET,mar 10 mar 2020, 18.00.50, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.50, CET,mar 10 mar 2020, 18.00.52, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.52, CET,mar 10 mar 2020, 18.00.54, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.54, CET,mar 10 mar 2020, 18.00.56, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.56, CET,mar 10 mar 2020, 18.00.59, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.00.59, CET,mar 10 mar 2020, 18.01.01, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.01, CET,mar 10 mar 2020, 18.01.04, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.04, CET,mar 10 mar 2020, 18.01.06, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.06, CET,mar 10 mar 2020, 18.01.08, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.08, CET,mar 10 mar 2020, 18.01.11, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.11, CET,mar 10 mar 2020, 18.01.13, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.13, CET,mar 10 mar 2020, 18.01.15, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.15, CET,mar 10 mar 2020, 18.01.18, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.18, CET,mar 10 mar 2020, 18.01.20, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.20, CET,mar 10 mar 2020, 18.01.23, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.23, CET,mar 10 mar 2020, 18.01.25, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.25, CET,mar 10 mar 2020, 18.01.27, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.27, CET,mar 10 mar 2020, 18.01.30, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.30, CET,mar 10 mar 2020, 18.01.32, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.32, CET,mar 10 mar 2020, 18.01.34, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.34, CET,mar 10 mar 2020, 18.01.37, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.37, CET,mar 10 mar 2020, 18.01.39, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.39, CET,mar 10 mar 2020, 18.01.41, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.41, CET,mar 10 mar 2020, 18.01.44, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.44, CET,mar 10 mar 2020, 18.01.46, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.46, CET,mar 10 mar 2020, 18.01.48, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.48, CET,mar 10 mar 2020, 18.01.51, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.51, CET,mar 10 mar 2020, 18.01.53, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.53, CET,mar 10 mar 2020, 18.01.55, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.55, CET,mar 10 mar 2020, 18.01.57, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.01.57, CET,mar 10 mar 2020, 18.02.00, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.02.00, CET,mar 10 mar 2020, 18.02.02, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.02.02, CET,mar 10 mar 2020, 18.02.04, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.02.04, CET,mar 10 mar 2020, 18.02.07, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.02.07, CET,mar 10 mar 2020, 18.02.09, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.02.09, CET,mar 10 mar 2020, 18.02.11, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.02.11, CET,mar 10 mar 2020, 18.02.14, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestEntityWithStaticColumn,should_update_static,test fail, mar 10 mar 2020, 18.02.14, CET,mar 10 mar 2020, 18.02.16, CET
