oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.35, CEST,lun 13 apr 2020, 13.39.40, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.40, CEST,lun 13 apr 2020, 13.39.45, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.45, CEST,lun 13 apr 2020, 13.39.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.50, CEST,lun 13 apr 2020, 13.39.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.56, CEST,lun 13 apr 2020, 13.40.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.40.01, CEST,lun 13 apr 2020, 13.40.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.40.06, CEST,lun 13 apr 2020, 13.40.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.40.12, CEST,lun 13 apr 2020, 13.40.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.40.17, CEST,lun 13 apr 2020, 13.40.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.40.23, CEST,lun 13 apr 2020, 13.40.29, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.40.29, CEST,lun 13 apr 2020, 13.40.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.40.34, CEST,lun 13 apr 2020, 13.40.40, CEST
