oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.42.42, CEST,lun 13 apr 2020, 16.42.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.42.48, CEST,lun 13 apr 2020, 16.42.53, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.42.53, CEST,lun 13 apr 2020, 16.42.58, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.42.58, CEST,lun 13 apr 2020, 16.43.04, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.04, CEST,lun 13 apr 2020, 16.43.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.09, CEST,lun 13 apr 2020, 16.43.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.14, CEST,lun 13 apr 2020, 16.43.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.20, CEST,lun 13 apr 2020, 16.43.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.25, CEST,lun 13 apr 2020, 16.43.30, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.30, CEST,lun 13 apr 2020, 16.43.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.35, CEST,lun 13 apr 2020, 16.43.41, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.41, CEST,lun 13 apr 2020, 16.43.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.46, CEST,lun 13 apr 2020, 16.43.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.51, CEST,lun 13 apr 2020, 16.43.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.43.57, CEST,lun 13 apr 2020, 16.44.02, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.44.02, CEST,lun 13 apr 2020, 16.44.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogIncorrectURI,test fail, lun 13 apr 2020, 16.44.07, CEST,lun 13 apr 2020, 16.44.13, CEST
