esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:43:05, CEST,mar 9 giu 2020, 15:43:15, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:43:15, CEST,mar 9 giu 2020, 15:43:24, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:43:24, CEST,mar 9 giu 2020, 15:43:34, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:43:34, CEST,mar 9 giu 2020, 15:43:44, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:43:44, CEST,mar 9 giu 2020, 15:43:54, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:43:54, CEST,mar 9 giu 2020, 15:44:03, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:44:03, CEST,mar 9 giu 2020, 15:44:13, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:44:13, CEST,mar 9 giu 2020, 15:44:23, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:44:23, CEST,mar 9 giu 2020, 15:44:33, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:44:33, CEST,mar 9 giu 2020, 15:44:43, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:44:43, CEST,mar 9 giu 2020, 15:44:53, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:44:53, CEST,mar 9 giu 2020, 15:45:03, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:45:03, CEST,mar 9 giu 2020, 15:45:13, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:45:13, CEST,mar 9 giu 2020, 15:45:23, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:45:23, CEST,mar 9 giu 2020, 15:45:32, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test fail, mar 9 giu 2020, 15:45:32, CEST,mar 9 giu 2020, 15:45:42, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:45:42, CEST,mar 9 giu 2020, 15:45:52, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:45:52, CEST,mar 9 giu 2020, 15:46:01, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:46:01, CEST,mar 9 giu 2020, 15:46:11, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:46:11, CEST,mar 9 giu 2020, 15:46:21, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:46:21, CEST,mar 9 giu 2020, 15:46:31, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:46:31, CEST,mar 9 giu 2020, 15:46:41, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:46:41, CEST,mar 9 giu 2020, 15:46:50, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:46:50, CEST,mar 9 giu 2020, 15:47:00, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:47:00, CEST,mar 9 giu 2020, 15:47:10, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:47:10, CEST,mar 9 giu 2020, 15:47:20, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test fail, mar 9 giu 2020, 15:47:20, CEST,mar 9 giu 2020, 15:47:30, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:47:30, CEST,mar 9 giu 2020, 15:47:40, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:47:40, CEST,mar 9 giu 2020, 15:47:50, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:47:50, CEST,mar 9 giu 2020, 15:47:59, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:47:59, CEST,mar 9 giu 2020, 15:48:09, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:48:09, CEST,mar 9 giu 2020, 15:48:19, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:48:19, CEST,mar 9 giu 2020, 15:48:29, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:48:29, CEST,mar 9 giu 2020, 15:48:38, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:48:38, CEST,mar 9 giu 2020, 15:48:48, CEST
esper,https://github.com/espertechinc/esper, 590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone/, TestLRMovingSimMain,testSim,test pass, mar 9 giu 2020, 15:48:48, CEST,mar 9 giu 2020, 15:48:58, CEST
